INPUT:link	OUTPUT:age	OUTPUT:code	OUTPUT:gender	OUTPUT:nickname	GOLDEN:age	GOLDEN:code	GOLDEN:gender	GOLDEN:nickname	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:rejected	ASSIGNMENT:skipped	ASSIGNMENT:expired	ASSIGNMENT:reward	ACCEPT:verdict	ACCEPT:comment
TAIA first pull	25	S8JMfzgvzT	Женский	DR.Music							https://toloka.yandex.ru/task/23846483/00016bde53--609269d11e05b21892c72355	00016bde53--609269d11e05b21892c72355	d585cc8bc890208c30bbf4d3e53e17b5	SUBMITTED	2021-05-05T09:48:01.778	2021-05-05T10:22:34.617					0.7000000000		
TAIA first pull	27	S8JMfzgvzT	Мужской	Рин451							https://toloka.yandex.ru/task/23846483/00016bde53--609269d1bb4ccb009fbf35fc	00016bde53--609269d1bb4ccb009fbf35fc	5dba240c4bfbb17f173a2a34f93fdbe8	SUBMITTED	2021-05-05T09:48:01.292	2021-05-05T09:55:52.850					0.7000000000		
TAIA first pull	44	S8JMfzgvzT	мужской	Алекс							https://toloka.yandex.ru/task/23846483/00016bde53--609269d27d9ddc487d6ca24f	00016bde53--609269d27d9ddc487d6ca24f	be81c58b8816c57cf52f7547e8200985	SUBMITTED	2021-05-05T09:48:02.636	2021-05-05T10:02:01.051					0.7000000000		
TAIA first pull	48	S8JMfzgvzT	женский	ева							https://toloka.yandex.ru/task/23846483/00016bde53--609269d30f8c700461b84086	00016bde53--609269d30f8c700461b84086	013a5348467a3d48e1a24f4def011abe	SUBMITTED	2021-05-05T09:48:03.440	2021-05-05T09:55:02.525					0.7000000000		
TAIA first pull	42	S8JMfzgvzT	м	Metro							https://toloka.yandex.ru/task/23846483/00016bde53--609269d31e05b21892c723e2	00016bde53--609269d31e05b21892c723e2	4fc8c08693fa4fe7b925dc85f2041a38	SUBMITTED	2021-05-05T09:48:03.655	2021-05-05T10:21:21.042					0.7000000000		
TAIA first pull	34	S8JMfzgvzT	мужской	Artur1986							https://toloka.yandex.ru/task/23846483/00016bde53--609269d338310858416be9f9	00016bde53--609269d338310858416be9f9	c3d83d5a1bee63c8f699b7ee24e1835e	SUBMITTED	2021-05-05T09:48:03.892	2021-05-05T10:03:04.814					0.7000000000		
TAIA first pull	21	S8JMfzgvzT	женский	Кимтата							https://toloka.yandex.ru/task/23846483/00016bde53--609269d5e70f0974b1a98e43	00016bde53--609269d5e70f0974b1a98e43	e887903415af0690fcb12ab1590c88db	SUBMITTED	2021-05-05T09:48:05.873	2021-05-05T10:09:51.929					0.7000000000		
TAIA first pull	34	S8JMfzgvzT	Мужской	kemakh							https://toloka.yandex.ru/task/23846483/00016bde53--609269d65549355605160d3d	00016bde53--609269d65549355605160d3d	4b05f620dcb80302e22f0a7c1b8da6c5	SUBMITTED	2021-05-05T09:48:06.344	2021-05-05T10:03:10.975					0.7000000000		
TAIA first pull	23	S8JMfzgvzT	Мужской	ARARA							https://toloka.yandex.ru/task/23846483/00016bde53--609269d77d9ddc487d6ca29d	00016bde53--609269d77d9ddc487d6ca29d	6cfcb3c40d5a1e7db572e80b1211e2c2	SUBMITTED	2021-05-05T09:48:07.043	2021-05-05T09:58:14.861					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--609269d9561411371219c8f2	00016bde53--609269d9561411371219c8f2	6a10955c7c3162888722b1113135806d	EXPIRED	2021-05-05T09:48:09.766					2021-05-05T09:50:24.501	0.7000000000		
