TAIA items (1st quantitative approbation)

pr01	Я считаю, что интеллектуальные системы надежны
pr02	Я считаю, что результаты работы интеллектуальных систем хорошо предсказуемы
pr03r	Я считаю, что интеллектуальные системы ненадежны
pr04r	Я считаю, что результаты работы интеллектуальных систем невозможно предсказать
pr05	Я считаю, что поездки в машине, управляемой искусственным интеллектом, безопаснее, чем с водителем
pr06	Я считаю, что медицинская диагностика с применением интеллектуальных систем надеждее, чем без них
pr07	Я считаю, что финансовые операции под контролем искусственного интеллекта безопаснее, чем обычные
pr08	Я считаю, что интеллектуальные системы, обеспечивающие безопасность домов, хорошо справляются со своей задачей
pr09	Я считаю, что рекомендательные системы чаще всего правильно определяют предпочтения пользователей
pr10	Я считаю, что системы машинного перевода в большинстве случаев правильно переводят тексты
co01	Интеллектуальные системы надежны, так как те системы, с которыми я сталкивался (сталкивалась), были надежными
co02	Я считаю, что если система при тестировании работает корректно, то и дальше она будет работать корректно
co03	Я считаю, что интеллектуальные системы совершают меньше технических ошибок, чем люди
co04	Со временем любая интеллектуальная система будет совершать всё меньше ошибок
co05	Если интеллектуальные системы, с которыми я сталкивался (сталкивалась), были надежными, то я могу считать надёжными другие системы
co06	Я могу судить о надёжности новой интеллектуальной системы по опыту работы с другими системами
co07r	Я могу сказать, что система работает корректно, только протестировав её
co08	Если одна интеллектуальная система подводит меня, то и с другими будет то же самое
co09	Если одна интеллектуальная система соответствует моим ожиданиям, то с другими будет то же самое
co10	Я могу сформировать ожидания относительно работы интеллектуальных систем в целом на основе опыта взаимодействия с одной системой
ut01	Я считаю, что интеллектуальные технологии — неотъемлемая часть развития общества
ut02	Я считаю, что человечество нуждается в интеллектуальных системах
ut03r	Мне кажется, человечеству будет лучше без интеллектуальных систем
ut04	Я считаю, что развитие интеллектуальных систем — это оправданный риск для общества
ut05	По моему мнению, без интеллектуальных систем общественный прогресс остановился бы
ut06	Я считаю, что интеллектуальные системы существенно повышают качество медицинской диагностики
ut07	Мне кажется, что оформить услуги с цифровыми помощниками гораздо проще, чем без них
ut08	Мне кажется, рекомендательные сервисы существенно сокращают время поиска нужной информации
ut09	Я считаю, что если полиция будет использовать интеллектуальные системы, то количество раскрытых преступлений увеличится
ut10r	Мне кажется, при оформлении услуг через интернет можно справиться и без цифровых помощников
ut11	Я считаю, что если на дорогах появятся машины, управляемые искусственным интеллектом, то число аварий снизится
ut12	Я считаю, что использование интеллектуальных систем в обучении повышает качество образования
fa01	Я готов (готова) довериться интеллектуальным системам, даже если я не до конца понимаю, как они работают
fa02r	Чтобы доверять интеллектуальной системе, мне нужно точно понимать, как работают её алгоритмы
fa03	Если интеллектуальная система перестает реагировать на запросы, мне с этим комфортно
fa04	Если интеллектуальная система управлениями финансами не реагирует на запросы, я все равно буду уверен, что она работает корректно
fa05	Я готов (готова) доверять результатам работы интеллектуальных систем, даже если я не знаю, как они работают
fa06	Я готов (готова) довериться работе интеллектуальных систем так же, как работе профессионалов
fa07r	Я предпочту сам (сама) контролировать весь процесс нежели дам контроль интеллектуальной системе
fa08r	Мне нужно знать детали работы алгоритма, чтобы быть уверенным (уверенной) в качестве результата его работы
fa09r	Если я не понимаю, как работает интеллектуальная система, я не могу быть уверенным (уверенной) в результате её работы
fa10	Мне не важно, как работает интеллектуальная система, если она должным образом справляется со своей задачей
de01	Я готов (готова) следовать рекомендациям рекомендательных систем социальных сетей
de02	Я готов (готова) делегировать управление финансами интеллектуальному помощнику
de03	Если интеллектуальная система запрашивает мои личные данные, я могу быть уверен (уверенна) в их сохранности
de04r	Я могу доверять интеллектуальной системе, если я точно понимаю, какие опасности исходят от неё
de05	Я бы мог (могла) жить в «умном доме»
de06	Если бы я ехал (ехала) в автомобиле, управляемом искусственным интеллектом, я бы был спокоен за свою безопасность
de07	Если меня обследуют с помощью интеллектуальных медицинских технологий, я могу доверять выставленному диагнозу
de08	Я считаю, что при покупках с интеллектуальными помощниками риск ошибиться меньше, чем без них
de09r	Мне было бы некомфортно жить в «умном доме»
de10	Я могу доверить искусственному интеллекту задачи, от которых зависит моя личная безопасность
de11r	Я могу доверить искусственному интеллекту только рутинные задачи (например, уборка)
un01	Я понимаю, как происходит взаимодействие человека с интеллектуальными системами
un02	Я понимаю, как работают алгоритмы интеллектуальных систем
un03	Я стараюсь разобраться в том, как работают интеллектуальные системы
un04	Я понимаю, как работают отдельные элементы интеллектуальных систем
un05	Я понимаю общий принцип работы интеллектуальных систем
un06r	Я плохо разбираюсь в тонкостях работы интеллектуальных систем
un07	Мне понятно, как работают интеллектуальные алгоритмы, применяемые в медицинской диагностике
un08	Мне понятно, как работают алгоритмы рекомендательных систем социальных сетей
un09	Я понимаю, как работают алгоритмы автомобилей, управляемых искусственным интеллектом
un10	Я понимаю, как работают алгоритмы интеллектуальных систем, которые управляют финансами
un11	Мне понятно, как устроены алгоритмы машинного перевода текстов
un12	Мне понятно, как работают алгоритмы систем типа «умный дом»
